R-Card Office iPad3,1/23/2019 12:54,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7148493
R-Card Office iPad3,1/23/2019 12:54,Retail Sale Transaction Amount: $12,Retail Transaction ID: 7148512
R-Card Office iPad3,1/23/2019 13:08,Retail Sale Transaction Amount: $12,Retail Transaction ID: 7154590
R-Card Office iPad3,1/23/2019 13:08,Retail Sale Transaction Amount: $6,Retail Transaction ID: 7154636
R-Card Office iPad3,1/23/2019 13:10,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7154638
R-Card Office iPad3,1/23/2019 13:12,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7154769
R-Card Office iPad3,1/23/2019 13:18,Retail Sale Transaction Amount: $12,Retail Transaction ID: 7159038
R-Card Office iPad3,1/23/2019 13:19,Retail Sale Transaction Amount: $12,Retail Transaction ID: 7159039
R-Card Office iPad3,1/23/2019 13:24,Retail Sale Transaction Amount: $0.45,Retail Transaction ID: 7159047
R-Card Office iPad3,1/23/2019 13:29,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7159051
R-Card Office iPad3,1/23/2019 13:33,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7159263
R-Card Office iPad3,1/29/2019 11:20,Retail Sale Transaction Amount: $18,Retail Transaction ID: 7158653
R-Card Office iPad3,1/29/2019 11:36,Retail Sale Transaction Amount: $12,Retail Transaction ID: 7159532
R-Card Office iPad3,1/29/2019 11:44,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7159534
R-Card Office iPad3,1/29/2019 12:25,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7159621
R-Card Office iPad3,1/29/2019 12:25,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7159628
R-Card Office iPad3,1/29/2019 12:51,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7159629
R-Card Office iPad3,1/29/2019 12:53,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7159645
R-Card Office iPad3,1/29/2019 12:56,Retail Sale Transaction Amount: $12,Retail Transaction ID: 7159646
R-Card Office iPad3,1/29/2019 13:23,Retail Sale Transaction Amount: $18,Retail Transaction ID: 7158619
R-Card Office iPad3,1/30/2019 11:48,Retail Sale Transaction Amount: $6,Retail Transaction ID: 7169280
R-Card Office iPad3,1/30/2019 12:00,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7169281
R-Card Office iPad3,1/30/2019 12:38,Retail Sale Transaction Amount: $18,Retail Transaction ID: 7169282
R-Card Office iPad3,1/30/2019 12:42,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7169283
R-Card Office iPad3,1/30/2019 12:43,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7196136
R-Card Office iPad3,2/5/2019 11:14,Retail Sale Transaction Amount: $12,Retail Transaction ID: 7196137
R-Card Office iPad3,2/5/2019 11:22,Retail Sale Transaction Amount: $12,Retail Transaction ID: 7196139
R-Card Office iPad3,2/5/2019 11:54,Retail Sale Transaction Amount: $12,Retail Transaction ID: 7196176
R-Card Office iPad3,2/5/2019 11:55,Retail Sale Transaction Amount: $12,Retail Transaction ID: 7196177
R-Card Office iPad3,2/5/2019 11:55,Retail Sale Transaction Amount: $12,Retail Transaction ID: 7196178
R-Card Office iPad3,2/5/2019 12:04,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7196321
R-Card Office iPad3,2/5/2019 12:04,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7196322
R-Card Office iPad3,2/5/2019 12:04,Retail Sale Transaction Amount: $12,Retail Transaction ID: 7196323
R-Card Office iPad3,2/5/2019 12:18,Retail Sale Transaction Amount: $12,Retail Transaction ID: 7196324
R-Card Office iPad3,2/5/2019 12:58,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7196325
R-Card Office iPad1,2/6/2019 12:07,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7196326
R-Card Office iPad1,2/6/2019 12:12,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7196332
R-Card Office iPad1,2/6/2019 12:58,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7196333
R-Card Office iPad1,2/6/2019 12:58,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7196334
R-Card Office iPad1,2/6/2019 13:20,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7196380
R-Card Office iPad1,2/6/2019 13:20,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7196454
R-Card Office iPad1,2/8/2019 12:38,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7196455
R-Card Office iPad1,2/8/2019 12:40,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7196465
R-Card Office iPad1,2/8/2019 12:58,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7196495
R-Card Office iPad1,2/8/2019 13:19,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7196517
R-Card Office iPad1,2/8/2019 13:19,Retail Sale Transaction Amount: $18,Retail Transaction ID: 7196569
R-Card Office iPad1,2/8/2019 13:41,Retail Sale Transaction Amount: $18,Retail Transaction ID: 7196576
R-Card Office iPad1,2/8/2019 13:41,Retail Sale Transaction Amount: $18,Retail Transaction ID: 7196588
R-Card Office iPad1,2/8/2019 13:41,Retail Sale Transaction Amount: $0.01,Retail Transaction ID: 7196591
R-Card Office iPad3,2/11/2019 11:07,Retail Sale Transaction Amount: $0.01,Retail Transaction ID: 7196602
R-Card Office iPad2,2/11/2019 11:10,Retail Sale Transaction Amount: $0.01,Retail Transaction ID: 7196608
R-Card Office iPad3,2/11/2019 11:52,Retail Sale Transaction Amount: $25,Retail Transaction ID: 7196650
R-Card Office iPad1,2/11/2019 12:03,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7196925
R-Card Office iPad1,2/11/2019 12:04,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7199683
R-Card Office iPad1,2/11/2019 12:05,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7199696
R-Card Office iPad1,2/11/2019 12:06,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7199708
R-Card Office iPad1,2/11/2019 12:06,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7199718
R-Card Office iPad1,2/11/2019 12:07,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7199733
R-Card Office iPad1,2/11/2019 12:08,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7199743
R-Card Office iPad1,2/11/2019 12:08,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7199778
R-Card Office iPad1,2/11/2019 12:13,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7199783
R-Card Office iPad1,2/11/2019 12:14,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7199795
R-Card Office iPad1,2/11/2019 12:17,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7199858
R-Card Office iPad1,2/11/2019 12:18,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7199874
R-Card Office iPad1,2/11/2019 12:19,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7199976
R-Card Office iPad1,2/11/2019 12:20,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7200036
R-Card Office iPad1,2/11/2019 12:22,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7200038
R-Card Office iPad1,2/11/2019 12:36,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7200106
R-Card Office iPad1,2/11/2019 12:37,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7202850
R-Card Office iPad1,2/11/2019 12:46,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7202923
R-Card Office iPad1,2/11/2019 12:46,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7202931
R-Card Office iPad1,2/11/2019 12:50,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7202932
R-Card Office iPad1,2/11/2019 12:51,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7202985
R-Card Office iPad1,2/11/2019 12:58,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7202994
R-Card Office iPad1,2/11/2019 12:58,Retail Sale Transaction Amount: $20,Retail Transaction ID: 7203123
R-Card Office iPad1,2/11/2019 12:58,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7203136
R-Card Office iPad1,2/11/2019 13:14,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7203138
R-Card Office iPad1,2/11/2019 13:16,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7203141
R-Card Office iPad1,2/11/2019 13:17,Retail Sale Transaction Amount: $0.01,Retail Transaction ID: 7203356
R-Card Office iPad2,2/11/2019 13:21,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7203406
R-Card Office iPad1,2/11/2019 13:38,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7203412
R-Card Office iPad1,2/11/2019 13:44,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7203433
R-Card Office iPad1,2/11/2019 13:53,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7203454
R-Card Office iPad1,2/11/2019 13:54,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7203460
R-Card Office iPad1,2/11/2019 14:04,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7203475
R-Card Office iPad1,2/11/2019 14:05,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7203515
